,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
0,spaCy,./data/statements.txt,88,40,10,78,11.363636363636363,11.363636363636363,37,51,42.04545454545455,42.04545454545455,21,67,23.863636363636363,23.863636363636363,34,54,38.63636363636363,38.63636363636363,0,0,0.0,0.0
1,spaCy,./data/perspective.txt,28,13,10,18,35.714285714285715,35.714285714285715,15,13,53.57142857142857,53.57142857142857,11,17,39.285714285714285,39.285714285714285,12,16,42.857142857142854,42.857142857142854,0,36,0.0,0.0
2,spaCy,./data/kinship-friends.txt,34,8,0,34,0.0,0.0,10,24,29.411764705882355,29.411764705882355,0,34,0.0,0.0,0,34,0.0,0.0,0,0,0.0,0.0
3,spaCy,./data/activities.txt,24,5,0,24,0.0,0.0,18,6,75.0,75.0,18,6,75.0,75.0,0,24,0.0,0.0,0,0,0.0,0.0
4,spaCy,./data/feelings.txt,8,0,4,4,50.0,50.0,8,0,100.0,100.0,8,0,100.0,100.0,4,4,50.0,50.0,0,0,0.0,0.0
5,spaCy,./data/locations.txt,13,0,0,13,0.0,0.0,13,0,100.0,100.0,0,13,0.0,0.0,3,10,23.076923076923077,23.076923076923077,0,0,0.0,0.0
6,spaCy,./data/professions.txt,7,0,2,5,28.57142857142857,28.57142857142857,7,0,100.0,100.0,6,1,85.71428571428571,85.71428571428571,2,5,28.57142857142857,28.57142857142857,0,0,0.0,0.0
0,CONV,./data/statements.txt,88,27,24,64,27.27272727272727,27.27272727272727,43,45,48.86363636363637,48.86363636363637,51,37,57.95454545454546,57.95454545454546,32,56,36.36363636363637,36.36363636363637,0,0,0.0,0.0
1,CONV,./data/perspective.txt,28,15,6,22,21.428571428571427,21.428571428571427,10,18,35.714285714285715,35.714285714285715,13,15,46.42857142857143,46.42857142857143,6,22,21.428571428571427,21.428571428571427,18,12,64.28571428571429,60.0
2,CONV,./data/kinship-friends.txt,34,3,0,34,0.0,0.0,7,27,20.588235294117645,20.588235294117645,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
3,CONV,./data/activities.txt,24,4,0,24,0.0,0.0,17,7,70.83333333333334,70.83333333333334,5,19,20.833333333333336,20.833333333333336,0,24,0.0,0.0,0,0,0.0,0.0
4,CONV,./data/feelings.txt,8,0,4,4,50.0,50.0,8,0,100.0,100.0,8,0,100.0,100.0,4,4,50.0,50.0,0,0,0.0,0.0
5,CONV,./data/locations.txt,13,1,0,13,0.0,0.0,12,1,92.3076923076923,92.3076923076923,9,4,69.23076923076923,69.23076923076923,0,13,0.0,0.0,0,0,0.0,0.0
6,CONV,./data/professions.txt,7,1,3,4,42.857142857142854,42.857142857142854,6,1,85.71428571428571,85.71428571428571,3,4,42.857142857142854,42.857142857142854,3,4,42.857142857142854,42.857142857142854,0,0,0.0,0.0
0,openIE,./data/statements.txt,88,17,0,88,0.0,0.0,29,59,32.95454545454545,32.95454545454545,22,66,25.0,25.0,7,81,7.954545454545454,7.954545454545454,0,0,0.0,0.0
1,openIE,./data/perspective.txt,28,19,0,28,0.0,0.0,7,21,25.0,25.0,5,23,17.857142857142858,17.857142857142858,0,28,0.0,0.0,0,15,0.0,0.0
2,openIE,./data/kinship-friends.txt,34,0,0,34,0.0,0.0,12,22,35.294117647058826,35.294117647058826,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
3,openIE,./data/activities.txt,24,5,0,24,0.0,0.0,6,18,25.0,25.0,15,9,62.5,62.5,0,24,0.0,0.0,0,0,0.0,0.0
