
RUNNING 66 UTTERANCES FROM FILE ./data/wh-questions.txt

MODEL: google-bert/bert-base-multilingual-cased

CORRECT TRIPLE ELEMENTS: 39			INCORRECT TRIPLE ELEMENTS: 159

UTTERANCES WITH TRIPLES: 21			UTTERANCE WITHOUT TRIPLES: 45
ISSUES (41 UTTERANCES): {
    "what can you see": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani can-see "
    }, 
    "what day is your birthday": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani birthday-is "
    }, 
    "what do you enjoy": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani enjoy "
    }, 
    "what do you hate": {
        "triple": "leolani hate , extracted_triple: leolani dislike , extracted_triple: leolani dislike "
    }, 
    "what is my favorite TV show": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "lenka favorite-tv-show-is "
    }, 
    "what is my favorite food": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "lenka favorite-food-is "
    }, 
    "what is your biggest fear": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani biggest-fear-is "
    }, 
    "what is your brother's name": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani-brother name-is "
    }, 
    "what is your dog's name": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani dog-name-is "
    }, 
    "what is your favorite color": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani favorite-color-is "
    }, 
    "when are you coming": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani come "
    }, 
    "when are you going to Mexico": {
        "triple": "leolani go-to mexico, extracted_triple: leolani go mexico, extracted_triple: leolani go mexico"
    }, 
    "when did Selene come": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "selene come "
    }, 
    "when did you go to school": {
        "triple": "leolani go-to school, extracted_triple: leolani go school, extracted_triple: leolani go school"
    }, 
    "when is your birthday": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani birthday-is "
    }, 
    "when is your father's birthday": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani-father birthday-is "
    }, 
    "where are you going": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani go "
    }, 
    "where can I go": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "lenka can-go "
    }, 
    "where did Bram come from": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "bram come-from "
    }, 
    "where did you go yesterday": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani go yesterday"
    }, 
    "where is Selene from": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "selene be-from "
    }, 
    "where is my friend": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "lenka-friend be "
    }, 
    "where is selene from": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "selene be-from "
    }, 
    "where is your best friend": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani-best-friend be "
    }, 
    "where is your friend": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani friend-is "
    }, 
    "where is your office": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani office-is "
    }, 
    "where was Selene born": {
        "triple": "selene born , extracted_triple: selene be born, extracted_triple: selene be born"
    }, 
    "where were you born": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani born "
    }, 
    "which is your favorite color": {
        "triple": "leolani favorite-color-is , extracted_triple: which be leolani-'-s-favorite-color, extracted_triple: which be leolani-'-s-favorite-color"
    }, 
    "who are your colleagues": {
        "triple": "leolani colleagues-is , extracted_triple:  be leolani-'-s-colleagues, extracted_triple:  be leolani-'-s-colleagues"
    }, 
    "who can sing": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": " can-sing "
    }, 
    "who do you like": {
        "triple": "leolani like , extracted_triple: leolani like ank, extracted_triple: leolani like ank"
    }, 
    "who does Selene know": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "selene know "
    }, 
    "who hates cleaning": {
        "triple": " hate cleaning, extracted_triple:  dislike cleaning, extracted_triple:  dislike cleaning"
    }, 
    "who have you seen": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": "leolani see "
    }, 
    "who is from Mexico": {
        "triple": " be-from mexico, extracted_triple:  is-from mexico, extracted_triple:  is-from mexico"
    }, 
    "who is your best friend": {
        "triple": "leolani-best-friend be , extracted_triple:  be leolani-'-s-best-friend, extracted_triple:  be leolani-'-s-best-friend"
    }, 
    "who likes singing": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": " like singing"
    }, 
    "who likes talking to people": {
        "parsing": "NO TRIPLES EXTRACTED", 
        "triple": " like talking-to-people"
    }, 
    "who will come to school": {
        "triple": " will-come-to school, extracted_triple:  come school, extracted_triple:  come school"
    }, 
    "who works at the university": {
        "triple": " work-at the-university, extracted_triple:  works-at the-university, extracted_triple:  works-at the-university"
    }
}
