,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,total triple elements,correct triple elements,incorrect triple elements,recall triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
0,CFG,./data/statements.txt,88,2,24,64,27.27272727272727,27.27272727272727,264,142,122,4165.333333333334,0.5378787878787871,34,54,38.63636363636363,38.63636363636363,59,29,67.04545454545455,67.04545454545455,49,39,55.68181818181818,55.68181818181818,0,0,0.0,0.0
1,CFG,./data/verb-questions.txt,63,0,29,34,46.03174603174603,46.03174603174603,189,138,51,2898.0,0.73015873015873,55,8,87.3015873015873,87.3015873015873,50,13,79.36507936507937,79.36507936507937,33,30,52.38095238095239,52.38095238095239,0,0,0.0,0.0
2,CFG,./data/wh-questions.txt,66,2,21,45,31.818181818181817,31.818181818181817,198,117,81,2574.0,0.59090909090909,38,28,57.57575757575758,57.57575757575758,58,8,87.87878787878788,87.87878787878788,21,45,31.818181818181817,31.818181818181817,0,0,0.0,0.0
3,CFG,./data/perspective.txt,28,0,8,20,28.57142857142857,28.57142857142857,84,37,47,345.33333333333337,0.44047619047619,15,13,53.57142857142857,53.57142857142857,13,15,46.42857142857143,46.42857142857143,9,19,32.142857142857146,32.142857142857146,44,22,157.14285714285714,66.66666666666666
4,CFG,./data/kinship-friends.txt,34,2,0,34,0.0,0.0,102,11,91,124.66666666666666,0.10784313725490101,10,24,29.411764705882355,29.411764705882355,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,CFG,./data/activities.txt,24,0,0,24,0.0,0.0,72,14,58,112.0,0.194444444444444,6,18,25.0,25.0,8,16,33.33333333333333,33.33333333333333,0,24,0.0,0.0,0,0,0.0,0.0
6,CFG,./data/feelings.txt,8,0,2,6,25.0,25.0,24,16,8,42.666666666666664,0.6666666666666661,4,4,50.0,50.0,8,0,100.0,100.0,4,4,50.0,50.0,0,0,0.0,0.0
7,CFG,./data/locations.txt,13,0,9,4,69.23076923076923,69.23076923076923,39,35,4,151.66666666666666,0.897435897435897,9,4,69.23076923076923,69.23076923076923,13,0,100.0,100.0,13,0,100.0,100.0,0,0,0.0,0.0
8,CFG,./data/professions.txt,7,0,2,5,28.57142857142857,28.57142857142857,21,12,9,28.0,0.5714285714285711,3,4,42.857142857142854,42.857142857142854,4,3,57.14285714285714,57.14285714285714,5,2,71.42857142857143,71.42857142857143,0,0,0.0,0.0
0,CONV,./data/statements.txt,88,27,24,64,27.27272727272727,27.27272727272727,264,126,138,3696.0,0.477272727272727,43,45,48.86363636363637,48.86363636363637,51,37,57.95454545454546,57.95454545454546,32,56,36.36363636363637,36.36363636363637,0,0,0.0,0.0
1,CONV,./data/verb-questions.txt,63,14,24,39,38.095238095238095,38.095238095238095,189,102,87,2142.0,0.539682539682539,36,27,57.14285714285714,57.14285714285714,35,28,55.55555555555556,55.55555555555556,31,32,49.2063492063492,49.2063492063492,0,0,0.0,0.0
2,CONV,./data/wh-questions.txt,66,3,12,54,18.181818181818183,18.181818181818183,198,98,100,2156.0,0.49494949494949503,33,33,50.0,50.0,44,22,66.66666666666666,66.66666666666666,21,45,31.818181818181817,31.818181818181817,0,0,0.0,0.0
3,CONV,./data/perspective.txt,28,15,6,22,21.428571428571427,21.428571428571427,84,29,55,270.66666666666663,0.345238095238095,10,18,35.714285714285715,35.714285714285715,13,15,46.42857142857143,46.42857142857143,6,22,21.428571428571427,21.428571428571427,18,12,64.28571428571429,60.0
4,CONV,./data/kinship-friends.txt,34,3,0,34,0.0,0.0,102,8,94,90.66666666666666,0.07843137254901901,7,27,20.588235294117645,20.588235294117645,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,CONV,./data/activities.txt,24,4,0,24,0.0,0.0,72,22,50,176.0,0.305555555555555,17,7,70.83333333333334,70.83333333333334,5,19,20.833333333333336,20.833333333333336,0,24,0.0,0.0,0,0,0.0,0.0
6,CONV,./data/feelings.txt,8,0,4,4,50.0,50.0,24,20,4,53.333333333333336,0.833333333333333,8,0,100.0,100.0,8,0,100.0,100.0,4,4,50.0,50.0,0,0,0.0,0.0
7,CONV,./data/locations.txt,13,1,0,13,0.0,0.0,39,21,18,91.0,0.538461538461538,12,1,92.3076923076923,92.3076923076923,9,4,69.23076923076923,69.23076923076923,0,13,0.0,0.0,0,0,0.0,0.0
8,CONV,./data/professions.txt,7,1,3,4,42.857142857142854,42.857142857142854,21,12,9,28.0,0.5714285714285711,6,1,85.71428571428571,85.71428571428571,3,4,42.857142857142854,42.857142857142854,3,4,42.857142857142854,42.857142857142854,0,0,0.0,0.0
0,spaCy,./data/statements.txt,88,40,10,78,11.363636363636363,11.363636363636363,264,92,172,2698.666666666667,0.348484848484848,37,51,42.04545454545455,42.04545454545455,21,67,23.863636363636363,23.863636363636363,34,54,38.63636363636363,38.63636363636363,0,0,0.0,0.0
1,spaCy,./data/verb-questions.txt,63,24,10,53,15.873015873015872,15.873015873015872,189,79,110,1659.0,0.417989417989417,35,28,55.55555555555556,55.55555555555556,16,47,25.396825396825395,25.396825396825395,28,35,44.44444444444444,44.44444444444444,0,0,0.0,0.0
