,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,total triple elements,correct triple elements,incorrect triple elements,recall triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
0,LLM_qwen2.5,./data/perspective.txt,28,0,15,13,53.57142857142857,53.57142857142857,84,64,20,76.19047619047619,76.19047619047619,24,4,85.71428571428571,85.71428571428571,21,7,75.0,75.0,19,9,67.85714285714286,67.85714285714286,0,66,0.0,0.0
1,LLM,./data/kinship-friends.txt,34,0,0,34,0.0,0.0,102,11,91,10.784313725490197,10.784313725490197,10,24,29.411764705882355,29.411764705882355,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
2,LLM,./data/activities.txt,24,0,0,24,0.0,0.0,72,38,34,52.77777777777778,52.77777777777778,22,2,91.66666666666666,91.66666666666666,16,8,66.66666666666666,66.66666666666666,0,24,0.0,0.0,0,0,0.0,0.0
3,LLM,./data/feelings.txt,8,0,8,0,100.0,100.0,24,24,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,0,0,0.0,0.0
4,LLM,./data/locations.txt,13,0,1,12,7.692307692307692,7.692307692307692,39,27,12,69.23076923076923,69.23076923076923,13,0,100.0,100.0,1,12,7.692307692307692,7.692307692307692,13,0,100.0,100.0,0,0,0.0,0.0
5,LLM,./data/professions.txt,7,0,5,2,71.42857142857143,71.42857142857143,21,19,2,90.47619047619048,90.47619047619048,7,0,100.0,100.0,7,0,100.0,100.0,5,2,71.42857142857143,71.42857142857143,0,0,0.0,0.0
0,CFG,./data/statements.txt,87,3,14,73,16.091954022988507,16.091954022988507,261,130,131,49.808429118773944,49.808429118773944,64,23,73.5632183908046,73.5632183908046,38,49,43.67816091954023,43.67816091954023,28,59,32.18390804597701,32.18390804597701,0,0,0.0,0.0
1,CFG,./data/verb-questions.txt,48,0,8,40,16.666666666666664,16.666666666666664,144,83,61,57.638888888888886,57.638888888888886,38,10,79.16666666666666,79.16666666666666,27,21,56.25,56.25,18,30,37.5,37.5,0,0,0.0,0.0
2,CFG,./data/wh-questions.txt,58,2,17,41,29.310344827586203,29.310344827586203,174,101,73,58.04597701149425,58.04597701149425,35,23,60.3448275862069,60.3448275862069,48,10,82.75862068965517,82.75862068965517,18,40,31.03448275862069,31.03448275862069,0,0,0.0,0.0
3,CFG,./data/perspective.txt,28,0,8,20,28.57142857142857,28.57142857142857,84,37,47,44.047619047619044,44.047619047619044,16,12,57.14285714285714,57.14285714285714,13,15,46.42857142857143,46.42857142857143,8,20,28.57142857142857,28.57142857142857,44,22,157.14285714285714,66.66666666666666
4,CFG,./data/kinship-friends.txt,34,2,0,34,0.0,0.0,102,11,91,10.784313725490197,10.784313725490197,10,24,29.411764705882355,29.411764705882355,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,CFG,./data/activities.txt,24,0,0,24,0.0,0.0,72,30,42,41.66666666666667,41.66666666666667,22,2,91.66666666666666,91.66666666666666,8,16,33.33333333333333,33.33333333333333,0,24,0.0,0.0,0,0,0.0,0.0
6,CFG,./data/feelings.txt,8,0,8,0,100.0,100.0,24,24,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,0,0,0.0,0.0
7,CFG,./data/locations.txt,13,0,7,6,53.84615384615385,53.84615384615385,39,33,6,84.61538461538461,84.61538461538461,13,0,100.0,100.0,13,0,100.0,100.0,7,6,53.84615384615385,53.84615384615385,0,0,0.0,0.0
8,CFG,./data/professions.txt,7,0,0,7,0.0,0.0,21,14,7,66.66666666666666,66.66666666666666,7,0,100.0,100.0,6,1,85.71428571428571,85.71428571428571,1,6,14.285714285714285,14.285714285714285,0,0,0.0,0.0
0,LLM_qwen2.5,./data/verb-questions.txt,48,0,23,25,47.91666666666667,47.91666666666667,144,109,35,75.69444444444444,75.69444444444444,39,9,81.25,81.25,29,19,60.416666666666664,60.416666666666664,41,7,85.41666666666666,85.41666666666666,0,0,0.0,0.0
0,CONV_mbert,./data/statements.txt,87,5,15,72,17.24137931034483,17.24137931034483,261,149,112,57.08812260536399,57.08812260536399,66,21,75.86206896551724,75.86206896551724,51,36,58.620689655172406,58.620689655172406,32,55,36.7816091954023,36.7816091954023,0,0,0.0,0.0
1,CONV,./data/verb-questions.txt,48,7,9,39,18.75,18.75,144,77,67,53.47222222222222,53.47222222222222,30,18,62.5,62.5,22,26,45.83333333333333,45.83333333333333,25,23,52.083333333333336,52.083333333333336,0,0,0.0,0.0
2,CONV,./data/wh-questions.txt,58,15,12,46,20.689655172413794,20.689655172413794,174,72,102,41.37931034482759,41.37931034482759,24,34,41.37931034482759,41.37931034482759,35,23,60.3448275862069,60.3448275862069,13,45,22.413793103448278,22.413793103448278,0,0,0.0,0.0
3,CONV,./data/perspective.txt,28,4,5,23,17.857142857142858,17.857142857142858,84,44,40,52.38095238095239,52.38095238095239,17,11,60.71428571428571,60.71428571428571,19,9,67.85714285714286,67.85714285714286,8,20,28.57142857142857,28.57142857142857,28,26,100.0,51.85185185185185
4,CONV,./data/kinship-friends.txt,34,1,0,34,0.0,0.0,102,11,91,10.784313725490197,10.784313725490197,10,24,29.411764705882355,29.411764705882355,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,CONV,./data/activities.txt,24,1,0,24,0.0,0.0,72,27,45,37.5,37.5,19,5,79.16666666666666,79.16666666666666,8,16,33.33333333333333,33.33333333333333,0,24,0.0,0.0,0,0,0.0,0.0
6,CONV,./data/feelings.txt,8,0,8,0,100.0,100.0,24,24,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,0,0,0.0,0.0
7,CONV,./data/locations.txt,13,0,0,13,0.0,0.0,39,23,16,58.97435897435898,58.97435897435898,13,0,100.0,100.0,10,3,76.92307692307693,76.92307692307693,0,13,0.0,0.0,0,0,0.0,0.0
8,CONV,./data/professions.txt,7,0,0,7,0.0,0.0,21,12,9,57.14285714285714,57.14285714285714,7,0,100.0,100.0,4,3,57.14285714285714,57.14285714285714,1,6,14.285714285714285,14.285714285714285,0,0,0.0,0.0
0,LLM_qwen2.5,./data/wh-questions.txt,58,0,33,25,56.896551724137936,56.896551724137936,174,130,44,74.71264367816092,74.71264367816092,42,16,72.41379310344827,72.41379310344827,47,11,81.03448275862068,81.03448275862068,41,17,70.6896551724138,70.6896551724138,0,0,0.0,0.0
0,CONV-albert,./data/statements.txt,87,30,11,76,12.643678160919542,12.643678160919542,261,95,166,36.39846743295019,36.39846743295019,39,48,44.827586206896555,44.827586206896555,34,53,39.08045977011494,39.08045977011494,22,65,25.287356321839084,25.287356321839084,0,0,0.0,0.0
1,CONV,./data/verb-questions.txt,48,12,9,39,18.75,18.75,144,68,76,47.22222222222222,47.22222222222222,26,22,54.166666666666664,54.166666666666664,18,30,37.5,37.5,24,24,50.0,50.0,0,0,0.0,0.0
2,CONV,./data/wh-questions.txt,58,2,10,48,17.24137931034483,17.24137931034483,174,95,79,54.59770114942529,54.59770114942529,33,25,56.896551724137936,56.896551724137936,43,15,74.13793103448276,74.13793103448276,19,39,32.758620689655174,32.758620689655174,0,0,0.0,0.0
3,CONV,./data/perspective.txt,28,15,2,26,7.142857142857142,7.142857142857142,84,25,59,29.761904761904763,29.761904761904763,10,18,35.714285714285715,35.714285714285715,10,18,35.714285714285715,35.714285714285715,5,23,17.857142857142858,17.857142857142858,18,12,64.28571428571429,60.0
4,CONV,./data/kinship-friends.txt,34,3,0,34,0.0,0.0,102,8,94,7.8431372549019605,7.8431372549019605,7,27,20.588235294117645,20.588235294117645,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,CONV,./data/activities.txt,24,4,0,24,0.0,0.0,72,22,50,30.555555555555557,30.555555555555557,17,7,70.83333333333334,70.83333333333334,5,19,20.833333333333336,20.833333333333336,0,24,0.0,0.0,0,0,0.0,0.0
6,CONV,./data/feelings.txt,8,0,8,0,100.0,100.0,24,24,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,0,0,0.0,0.0
7,CONV,./data/locations.txt,13,1,0,13,0.0,0.0,39,21,18,53.84615384615385,53.84615384615385,12,1,92.3076923076923,92.3076923076923,9,4,69.23076923076923,69.23076923076923,0,13,0.0,0.0,0,0,0.0,0.0
8,CONV,./data/professions.txt,7,1,0,7,0.0,0.0,21,10,11,47.61904761904761,47.61904761904761,6,1,85.71428571428571,85.71428571428571,3,4,42.857142857142854,42.857142857142854,1,6,14.285714285714285,14.285714285714285,0,0,0.0,0.0
0,LLM_llama3.2,./data/wh-questions.txt,58,0,11,47,18.96551724137931,18.96551724137931,174,78,96,44.827586206896555,44.827586206896555,17,41,29.310344827586203,29.310344827586203,29,29,50.0,50.0,32,26,55.172413793103445,55.172413793103445,0,0,0.0,0.0
0,LLM_llama3.2,./data/verb-questions.txt,48,0,3,45,6.25,6.25,144,61,83,42.36111111111111,42.36111111111111,5,43,10.416666666666668,10.416666666666668,20,28,41.66666666666667,41.66666666666667,36,12,75.0,75.0,0,0,0.0,0.0
0,openIE,./data/statements.txt,87,15,2,85,2.298850574712643,2.298850574712643,261,90,171,34.48275862068966,34.48275862068966,41,46,47.12643678160919,47.12643678160919,40,47,45.97701149425287,45.97701149425287,9,78,10.344827586206897,10.344827586206897,0,0,0.0,0.0
1,openIE,./data/verb-questions.txt,48,13,0,48,0.0,0.0,144,42,102,29.166666666666668,29.166666666666668,26,22,54.166666666666664,54.166666666666664,16,32,33.33333333333333,33.33333333333333,0,48,0.0,0.0,0,0,0.0,0.0
2,openIE,./data/wh-questions.txt,58,49,0,58,0.0,0.0,174,6,168,3.448275862068965,3.448275862068965,5,53,8.620689655172415,8.620689655172415,1,57,1.7241379310344822,1.7241379310344822,0,58,0.0,0.0,0,0,0.0,0.0
3,openIE,./data/perspective.txt,28,19,0,28,0.0,0.0,84,13,71,15.476190476190476,15.476190476190476,8,20,28.57142857142857,28.57142857142857,5,23,17.857142857142858,17.857142857142858,0,28,0.0,0.0,0,15,0.0,0.0
4,openIE,./data/kinship-friends.txt,34,0,0,34,0.0,0.0,102,13,89,12.745098039215685,12.745098039215685,12,22,35.294117647058826,35.294117647058826,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,openIE,./data/activities.txt,24,5,0,24,0.0,0.0,72,21,51,29.166666666666668,29.166666666666668,6,18,25.0,25.0,15,9,62.5,62.5,0,24,0.0,0.0,0,0,0.0,0.0
6,openIE,./data/feelings.txt,8,0,0,8,0.0,0.0,24,14,10,58.333333333333336,58.333333333333336,4,4,50.0,50.0,8,0,100.0,100.0,2,6,25.0,25.0,0,0,0.0,0.0
7,openIE,./data/locations.txt,13,0,0,13,0.0,0.0,39,9,30,23.076923076923077,23.076923076923077,9,4,69.23076923076923,69.23076923076923,0,13,0.0,0.0,0,13,0.0,0.0,0,0,0.0,0.0
8,openIE,./data/professions.txt,7,0,0,7,0.0,0.0,21,9,12,42.857142857142854,42.857142857142854,3,4,42.857142857142854,42.857142857142854,6,1,85.71428571428571,85.71428571428571,0,7,0.0,0.0,0,0,0.0,0.0
