,analyzer,test_file,nr_utterances,no_triples,correct_triples,incorrect_triples,triple_recall,triple_precision,total triple elements,correct triple elements,incorrect triple elements,recall triple elements,precision triple elements,correct_subjects,incorrect_subjects,subjects_recall,subjects_precision,correct_objects,incorrect_objects,objects_recall,objects_precision,correct_predicates,incorrect_predicates,predicates_recall,predicates_precision,correct_perspectives,incorrect_perspectives,perspectives_recall,perspectives_precision
0,CFG,./data/statements.txt,87,3,14,73,16.091954022988507,16.091954022988507,261,130,131,49.808429118773944,49.808429118773944,64,23,73.5632183908046,73.5632183908046,38,49,43.67816091954023,43.67816091954023,28,59,32.18390804597701,32.18390804597701,0,0,0.0,0.0
1,CFG,./data/verb-questions.txt,48,0,8,40,16.666666666666664,16.666666666666664,144,83,61,57.638888888888886,57.638888888888886,38,10,79.16666666666666,79.16666666666666,27,21,56.25,56.25,18,30,37.5,37.5,0,0,0.0,0.0
2,CFG,./data/wh-questions.txt,58,2,17,41,29.310344827586203,29.310344827586203,174,101,73,58.04597701149425,58.04597701149425,35,23,60.3448275862069,60.3448275862069,48,10,82.75862068965517,82.75862068965517,18,40,31.03448275862069,31.03448275862069,0,0,0.0,0.0
3,CFG,./data/perspective.txt,28,0,8,20,28.57142857142857,28.57142857142857,84,37,47,44.047619047619044,44.047619047619044,16,12,57.14285714285714,57.14285714285714,13,15,46.42857142857143,46.42857142857143,8,20,28.57142857142857,28.57142857142857,44,22,157.14285714285714,66.66666666666666
4,CFG,./data/kinship-friends.txt,34,2,0,34,0.0,0.0,102,11,91,10.784313725490197,10.784313725490197,10,24,29.411764705882355,29.411764705882355,1,33,2.941176470588235,2.941176470588235,0,34,0.0,0.0,0,0,0.0,0.0
5,CFG,./data/activities.txt,24,0,0,24,0.0,0.0,72,30,42,41.66666666666667,41.66666666666667,22,2,91.66666666666666,91.66666666666666,8,16,33.33333333333333,33.33333333333333,0,24,0.0,0.0,0,0,0.0,0.0
6,CFG,./data/feelings.txt,8,0,8,0,100.0,100.0,24,24,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,8,0,100.0,100.0,0,0,0.0,0.0
7,CFG,./data/locations.txt,13,0,7,6,53.84615384615385,53.84615384615385,39,33,6,84.61538461538461,84.61538461538461,13,0,100.0,100.0,13,0,100.0,100.0,7,6,53.84615384615385,53.84615384615385,0,0,0.0,0.0
8,CFG,./data/professions.txt,7,0,0,7,0.0,0.0,21,14,7,66.66666666666666,66.66666666666666,7,0,100.0,100.0,6,1,85.71428571428571,85.71428571428571,1,6,14.285714285714285,14.285714285714285,0,0,0.0,0.0
0,CONV_google-bert_bert-base-multilingual-cased,./data/statements.txt,87,5,15,72,17.24137931034483,17.24137931034483,261,149,112,57.08812260536399,57.08812260536399,66,21,75.86206896551724,75.86206896551724,51,36,58.620689655172406,58.620689655172406,32,55,36.7816091954023,36.7816091954023,0,0,0.0,0.0
1,CONV_google-bert_bert-base-multilingual-cased,./data/verb-questions.txt,48,7,9,39,18.75,18.75,144,77,67,53.47222222222222,53.47222222222222,30,18,62.5,62.5,22,26,45.83333333333333,45.83333333333333,25,23,52.083333333333336,52.083333333333336,0,0,0.0,0.0
2,CONV_google-bert_bert-base-multilingual-cased,./data/wh-questions.txt,58,15,12,46,20.689655172413794,20.689655172413794,174,73,101,41.95402298850575,41.95402298850575,24,34,41.37931034482759,41.37931034482759,36,22,62.06896551724138,62.06896551724138,13,45,22.413793103448278,22.413793103448278,0,0,0.0,0.0
3,CONV_google-bert_bert-base-multilingual-cased,./data/perspective.txt,28,4,5,23,17.857142857142858,17.857142857142858,84,44,40,52.38095238095239,52.38095238095239,17,11,60.71428571428571,60.71428571428571,19,9,67.85714285714286,67.85714285714286,8,20,28.57142857142857,28.57142857142857,28,26,100.0,51.85185185185185
0,LLM_llama3.2,./data/statements.txt,87,0,23,64,26.436781609195403,26.436781609195403,261,143,118,54.78927203065134,54.78927203065134,37,50,42.5287356321839,42.5287356321839,57,30,65.51724137931035,65.51724137931035,49,38,56.32183908045977,56.32183908045977,0,0,0.0,0.0
1,LLM_llama3.2,./data/verb-questions.txt,48,0,3,45,6.25,6.25,144,63,81,43.75,43.75,5,43,10.416666666666668,10.416666666666668,22,26,45.83333333333333,45.83333333333333,36,12,75.0,75.0,0,0,0.0,0.0
2,LLM_llama3.2,./data/wh-questions.txt,58,0,11,47,18.96551724137931,18.96551724137931,174,79,95,45.40229885057471,45.40229885057471,17,41,29.310344827586203,29.310344827586203,28,30,48.275862068965516,48.275862068965516,34,24,58.620689655172406,58.620689655172406,0,0,0.0,0.0
3,LLM_llama3.2,./data/perspective.txt,28,0,13,15,46.42857142857143,46.42857142857143,84,56,28,66.66666666666666,66.66666666666666,15,13,53.57142857142857,53.57142857142857,20,8,71.42857142857143,71.42857142857143,21,7,75.0,75.0,0,66,0.0,0.0
0,openIE,./data/statements.txt,87,15,2,85,2.298850574712643,2.298850574712643,261,90,171,34.48275862068966,34.48275862068966,41,46,47.12643678160919,47.12643678160919,40,47,45.97701149425287,45.97701149425287,9,78,10.344827586206897,10.344827586206897,0,0,0.0,0.0
1,openIE,./data/verb-questions.txt,48,13,0,48,0.0,0.0,144,42,102,29.166666666666668,29.166666666666668,26,22,54.166666666666664,54.166666666666664,16,32,33.33333333333333,33.33333333333333,0,48,0.0,0.0,0,0,0.0,0.0
2,openIE,./data/wh-questions.txt,58,49,0,58,0.0,0.0,174,6,168,3.448275862068965,3.448275862068965,5,53,8.620689655172415,8.620689655172415,1,57,1.7241379310344822,1.7241379310344822,0,58,0.0,0.0,0,0,0.0,0.0
3,openIE,./data/perspective.txt,28,19,0,28,0.0,0.0,84,13,71,15.476190476190476,15.476190476190476,8,20,28.57142857142857,28.57142857142857,5,23,17.857142857142858,17.857142857142858,0,28,0.0,0.0,0,15,0.0,0.0
0,spaCy,./data/statements.txt,87,38,27,60,31.03448275862069,31.03448275862069,261,115,146,44.06130268199234,44.06130268199234,37,50,42.5287356321839,42.5287356321839,37,50,42.5287356321839,42.5287356321839,41,46,47.12643678160919,47.12643678160919,0,0,0.0,0.0
1,spaCy,./data/verb-questions.txt,48,20,14,34,29.166666666666668,29.166666666666668,144,69,75,47.91666666666667,47.91666666666667,25,23,52.083333333333336,52.083333333333336,16,32,33.33333333333333,33.33333333333333,28,20,58.333333333333336,58.333333333333336,0,0,0.0,0.0
2,spaCy,./data/wh-questions.txt,58,56,1,57,1.7241379310344822,1.7241379310344822,174,4,170,2.298850574712643,2.298850574712643,2,56,3.448275862068965,3.448275862068965,1,57,1.7241379310344822,1.7241379310344822,1,57,1.7241379310344822,1.7241379310344822,0,0,0.0,0.0
3,spaCy,./data/perspective.txt,28,15,10,18,35.714285714285715,35.714285714285715,84,36,48,42.857142857142854,42.857142857142854,13,15,46.42857142857143,46.42857142857143,10,18,35.714285714285715,35.714285714285715,13,15,46.42857142857143,46.42857142857143,0,30,0.0,0.0
0,LLM_qwen2.5,./data/statements.txt,87,0,47,40,54.02298850574713,54.02298850574713,261,191,70,73.18007662835248,73.18007662835248,69,18,79.3103448275862,79.3103448275862,60,27,68.96551724137932,68.96551724137932,62,25,71.26436781609196,71.26436781609196,0,0,0.0,0.0
1,LLM_qwen2.5,./data/verb-questions.txt,48,0,22,26,45.83333333333333,45.83333333333333,144,108,36,75.0,75.0,39,9,81.25,81.25,28,20,58.333333333333336,58.333333333333336,41,7,85.41666666666666,85.41666666666666,0,0,0.0,0.0
2,LLM_qwen2.5,./data/wh-questions.txt,58,0,33,25,56.896551724137936,56.896551724137936,174,130,44,74.71264367816092,74.71264367816092,42,16,72.41379310344827,72.41379310344827,47,11,81.03448275862068,81.03448275862068,41,17,70.6896551724138,70.6896551724138,0,0,0.0,0.0
3,LLM_qwen2.5,./data/perspective.txt,28,0,15,13,53.57142857142857,53.57142857142857,84,63,21,75.0,75.0,22,6,78.57142857142857,78.57142857142857,21,7,75.0,75.0,20,8,71.42857142857143,71.42857142857143,0,66,0.0,0.0
0,CONV_albert-base-v2,./data/statements.txt,87,30,11,76,12.643678160919542,12.643678160919542,261,95,166,36.39846743295019,36.39846743295019,39,48,44.827586206896555,44.827586206896555,34,53,39.08045977011494,39.08045977011494,22,65,25.287356321839084,25.287356321839084,0,0,0.0,0.0
1,CONV_albert-base-v2,./data/verb-questions.txt,48,12,9,39,18.75,18.75,144,68,76,47.22222222222222,47.22222222222222,26,22,54.166666666666664,54.166666666666664,17,31,35.41666666666667,35.41666666666667,25,23,52.083333333333336,52.083333333333336,0,0,0.0,0.0
2,CONV_albert-base-v2,./data/wh-questions.txt,58,2,9,49,15.517241379310345,15.517241379310345,174,85,89,48.85057471264368,48.85057471264368,33,25,56.896551724137936,56.896551724137936,35,23,60.3448275862069,60.3448275862069,17,41,29.310344827586203,29.310344827586203,0,0,0.0,0.0
